begin HEADER
  File_Creation = 2008-10-08T18:29:44 UTC
  File_ID = "Atmospheric State Perturbations"
  File_Type     = "Matrix"
  Labels =  "Pressure"  "T"  "H2O"  "CO2"  "O2 " 
  Num_Columns = 5
  Num_Rows = 20
  Units =  "Pa      "  "K"  "VMR"  "VMR"  "VMR" 
end HEADER

#         Pressure   T      H2O      CO2      O2 
#         Pa         K      VMR      VMR      VMR
    1.00000000e+02   2    1e-04    5e-06    5e-02
    7.00000000e+03   2    1e-04    5e-06    5e-02
    1.00000000e+04   2    1e-04    5e-06    5e-02
    2.00000000e+04   2    1e-04    5e-06    5e-02
    2.80000000e+04   2    1e-04    5e-06    5e-02
    3.50000000e+04   2    1e-04    5e-06    5e-02
    4.00000000e+04   2    1e-04    5e-06    5e-02
    4.50000000e+04   2    1e-04    5e-06    5e-02
    5.00000000e+04   2    1e-04    5e-06    5e-02
    5.50000000e+04   2    1e-04    5e-06    5e-02
    6.00000000e+04   2    1e-04    5e-06    5e-02
    6.50000000e+04   2    1e-04    5e-06    5e-02
    7.00000000e+04   2    1e-04    5e-06    5e-02
    7.50000000e+04   2    1e-04    5e-06    5e-02
    8.00000000e+04   2    1e-04    5e-06    5e-02
    8.50000000e+04   2    1e-04    5e-06    5e-02
    9.00000000e+04   2    1e-04    5e-06    5e-02
    9.50000000e+04   2    1e-04    5e-06    5e-02
    1.00000000e+05   2    1e-04    5e-06    5e-02
    1.05000000e+05   2    1e-04    5e-06    5e-02
