begin HEADER
  File_Creation = "2009-05-26T19:32:48 UTC"
  File_ID       = "GOSAT TANSO FTS Conversion Factors"
  Labels        = "Wavenumber" "CNV(B2P_gainH)" "CNV(B2S_gainH)" "CNV(B2P_gainM)" "CNV(B2S_gainM)"
  Num_Columns   = 5
  Num_Rows      = 8001
end HEADER

#      Wavenumber   CNV(B2P_gainH)   CNV(B2S_gainH)   CNV(B2P_gainM)   CNV(B2S_gainM)
   5.32299150e+03              N/A              N/A              N/A              N/A
   5.32319150e+03              N/A              N/A              N/A              N/A
   5.32339150e+03              N/A              N/A              N/A              N/A
   5.32359150e+03              N/A              N/A              N/A              N/A
   5.32379150e+03              N/A              N/A              N/A              N/A
   5.32399150e+03              N/A              N/A              N/A              N/A
   5.32419150e+03              N/A              N/A              N/A              N/A
   5.32439150e+03              N/A              N/A              N/A              N/A
   5.32459150e+03              N/A              N/A              N/A              N/A
   5.32479150e+03              N/A              N/A              N/A              N/A
   5.32499150e+03              N/A              N/A              N/A              N/A
   5.32519150e+03              N/A              N/A              N/A              N/A
   5.32539150e+03              N/A              N/A              N/A              N/A
   5.32559150e+03              N/A              N/A              N/A              N/A
   5.32579150e+03              N/A              N/A              N/A              N/A
   5.32599150e+03              N/A              N/A              N/A              N/A
   5.32619150e+03              N/A              N/A              N/A              N/A
   5.32639150e+03              N/A              N/A              N/A              N/A
   5.32659150e+03              N/A              N/A              N/A              N/A
   5.32679150e+03              N/A              N/A              N/A              N/A
   5.32699150e+03              N/A              N/A              N/A              N/A
   5.32719150e+03              N/A              N/A              N/A              N/A
   5.32739150e+03              N/A              N/A              N/A              N/A
   5.32759150e+03              N/A              N/A              N/A              N/A
   5.32779150e+03              N/A              N/A              N/A              N/A
   5.32799150e+03              N/A              N/A              N/A              N/A
   5.32819150e+03              N/A              N/A              N/A              N/A
   5.32839150e+03              N/A              N/A              N/A              N/A
   5.32859150e+03              N/A              N/A              N/A              N/A
   5.32879150e+03              N/A              N/A              N/A              N/A
   5.32899150e+03              N/A              N/A              N/A              N/A
   5.32919150e+03              N/A              N/A              N/A              N/A
   5.32939150e+03              N/A              N/A              N/A              N/A
   5.32959150e+03              N/A              N/A              N/A              N/A
   5.32979150e+03              N/A              N/A              N/A              N/A
   5.32999150e+03              N/A              N/A              N/A              N/A
   5.33019150e+03              N/A              N/A              N/A              N/A
   5.33039150e+03              N/A              N/A              N/A              N/A
   5.33059150e+03              N/A              N/A              N/A              N/A
   5.33079150e+03              N/A              N/A              N/A              N/A
   5.33099150e+03              N/A              N/A              N/A              N/A
   5.33119150e+03              N/A              N/A              N/A              N/A
   5.33139150e+03              N/A              N/A              N/A              N/A
   5.33159150e+03              N/A              N/A              N/A              N/A
   5.33179150e+03              N/A              N/A              N/A              N/A
   5.33199150e+03              N/A              N/A              N/A              N/A
   5.33219150e+03              N/A              N/A              N/A              N/A
   5.33239150e+03              N/A              N/A              N/A              N/A
   5.33259150e+03              N/A              N/A              N/A              N/A
   5.33279150e+03              N/A              N/A              N/A              N/A
   5.33299150e+03              N/A              N/A              N/A              N/A
   5.33319150e+03              N/A              N/A              N/A              N/A
   5.33339150e+03              N/A              N/A              N/A              N/A
   5.33359150e+03              N/A              N/A              N/A              N/A
   5.33379150e+03              N/A              N/A              N/A              N/A
   5.33399150e+03              N/A              N/A              N/A              N/A
   5.33419150e+03              N/A              N/A              N/A              N/A
   5.33439150e+03              N/A              N/A              N/A              N/A
   5.33459150e+03              N/A              N/A              N/A              N/A
   5.33479150e+03              N/A              N/A              N/A              N/A
   5.33499150e+03              N/A              N/A              N/A              N/A
   5.33519150e+03              N/A              N/A              N/A              N/A
   5.33539150e+03              N/A              N/A              N/A              N/A
   5.33559150e+03              N/A              N/A              N/A              N/A
   5.33579150e+03              N/A              N/A              N/A              N/A
   5.33599150e+03              N/A              N/A              N/A              N/A
   5.33619150e+03              N/A              N/A              N/A              N/A
   5.33639150e+03              N/A              N/A              N/A              N/A
   5.33659150e+03              N/A              N/A              N/A              N/A
   5.33679150e+03              N/A              N/A              N/A              N/A
