begin HEADER
  File_Creation = "2009-05-26T19:32:48 UTC"
  File_ID       = "GOSAT TANSO FTS Conversion Factors"
  Labels        = "Wavenumber" "CNV(B1P_gainH)" "CNV(B1S_gainH)" "CNV(B1P_gainM)" "CNV(B1S_gainM)"
  Num_Columns   = 5
  Num_Rows      = 2601
end HEADER

#      Wavenumber   CNV(B1P_gainH)   CNV(B1S_gainH)   CNV(B1P_gainM)   CNV(B1S_gainM)
   1.24001430e+04              N/A              N/A   1.08882443e-04   1.35187502e-04
   1.24006430e+04              N/A              N/A   2.64671330e-04   3.94994541e-05
   1.24011430e+04              N/A              N/A   1.13082093e-04   6.76091100e-05
   1.24016430e+04              N/A              N/A   1.39534513e-04   4.82457495e-05
   1.24021430e+04              N/A              N/A   1.37801686e-04   9.87904250e-05
   1.24026430e+04              N/A              N/A   9.06226503e-05   4.90583296e-05
   1.24031430e+04              N/A              N/A   1.44599159e-04   4.65580122e-05
   1.24036430e+04              N/A              N/A   1.08717517e-04   8.91632512e-05
   1.24041430e+04              N/A              N/A   1.62591807e-04   5.34444030e-05
   1.24046430e+04              N/A              N/A   1.52141162e-04   8.64821011e-05
   1.24051430e+04              N/A              N/A   2.03675270e-04   8.81260312e-05
   1.24056430e+04              N/A              N/A   1.15929791e-04   1.02330440e-04
   1.24061430e+04              N/A              N/A   7.52804983e-05   7.01923128e-05
   1.24066430e+04              N/A              N/A   8.34577607e-05   4.45686282e-05
   1.24071430e+04              N/A              N/A   6.66044075e-05   5.22620289e-05
   1.24076430e+04              N/A              N/A   6.79712222e-05   5.02444852e-05
   1.24081430e+04              N/A              N/A   1.15494008e-04   7.36673331e-05
   1.24086430e+04              N/A              N/A   1.00984043e-04   7.43063095e-05
   1.24091430e+04              N/A              N/A   1.06396037e-04   1.44066002e-04
   1.24096430e+04              N/A              N/A   7.27194542e-05   3.31573270e-05
   1.24101430e+04              N/A              N/A   9.83869517e-05   7.80425672e-05
   1.24106430e+04              N/A              N/A   1.28643970e-04   1.40608786e-04
   1.24111430e+04              N/A              N/A   1.87288947e-04   5.72852092e-05
   1.24116430e+04              N/A              N/A   1.82297308e-04   7.71468869e-05
   1.24121430e+04              N/A              N/A   9.73672830e-05   1.45381263e-04
   1.24126430e+04              N/A              N/A   1.48390246e-04   5.83540443e-05
   1.24131430e+04              N/A              N/A   5.59557061e-05   7.23063204e-05
   1.24136430e+04              N/A              N/A   8.91604491e-05   3.51155831e-05
   1.24141430e+04              N/A              N/A   1.17497605e-04   8.74106061e-05
   1.24146430e+04              N/A              N/A   4.99675607e-05   9.13544115e-05
   1.24151430e+04              N/A              N/A   3.42044395e-04   1.19223594e-04
   1.24156430e+04              N/A              N/A   9.63644751e-05   7.23343113e-05
   1.24161430e+04              N/A              N/A   1.46494538e-04   4.20821410e-05
   1.24166430e+04              N/A              N/A   1.43113736e-04   7.79955075e-05
   1.24171430e+04              N/A              N/A   1.63525242e-04   4.84353205e-05
   1.24176430e+04              N/A              N/A   8.90354045e-05  -1.76821874e-02
   1.24181430e+04              N/A              N/A   1.27910620e-04   9.78002429e-05
   1.24186430e+04              N/A              N/A   2.23082106e-04   4.60409793e-05
