Solar Doppler Velocity [m/s]:   298.33                # Note: Positive means FOV moving TOWARDS the sun.
Solar Intensity Units are: ph/s/m^2/um    
Distance to Sun in AU:    1.00721
S = Solar Rest Frame.  E = earth-centered rest frame.
        Wavenumber_E        Wavenumber_S   Wavelength_S [um]       Transmittance           Intensity
          6288.29000          6288.28374        1.5902590293        0.7879694738        0.165611E+22
          6288.28000          6288.27374        1.5902615582        0.8013255440        0.168418E+22
          6288.27000          6288.26374        1.5902640872        0.8164738596        0.171601E+22
          6288.26000          6288.25374        1.5902666161        0.8332550050        0.175128E+22
          6288.25000          6288.24374        1.5902691451        0.8509509411        0.178846E+22
          6288.24000          6288.23374        1.5902716740        0.8685432850        0.182543E+22
          6288.23000          6288.22374        1.5902742030        0.8850661828        0.186015E+22
          6288.22000          6288.21374        1.5902767320        0.8998578210        0.189124E+22
          6288.21000          6288.20374        1.5902792609        0.9126261445        0.191807E+22
          6288.20000          6288.19374        1.5902817899        0.9233747899        0.194065E+22
          6288.19000          6288.18374        1.5902843189        0.9322817314        0.195937E+22
          6288.18000          6288.17374        1.5902868479        0.9395950998        0.197473E+22
          6288.17000          6288.16374        1.5902893769        0.9455669237        0.198728E+22
          6288.16000          6288.15374        1.5902919060        0.9504196117        0.199747E+22
          6288.15000          6288.14374        1.5902944350        0.9543328083        0.200569E+22
          6288.14000          6288.13374        1.5902969640        0.9574402989        0.201221E+22
          6288.13000          6288.12374        1.5902994931        0.9598310069        0.201723E+22
          6288.12000          6288.11374        1.5903020221        0.9615521815        0.202085E+22
          6288.11000          6288.10374        1.5903045512        0.9626159871        0.202308E+22
          6288.10000          6288.09374        1.5903070803        0.9630123914        0.202390E+22
          6288.09000          6288.08374        1.5903096093        0.9627305178        0.202331E+22
          6288.08000          6288.07374        1.5903121384        0.9617866063        0.202132E+22
          6288.07000          6288.06374        1.5903146675        0.9602502871        0.201808E+22
          6288.06000          6288.05374        1.5903171966        0.9582556490        0.201388E+22
          6288.05000          6288.04374        1.5903197257        0.9559846854        0.200911E+22
          6288.04000          6288.03374        1.5903222549        0.9536206139        0.200413E+22
          6288.03000          6288.02374        1.5903247840        0.9512835480        0.199922E+22
          6288.02000          6288.01374        1.5903273131        0.9489722901        0.199435E+22
          6288.01000          6288.00374        1.5903298423        0.9465353624        0.198923E+22
