Solar Doppler Velocity [m/s]:   298.33                # Note: Positive means FOV moving TOWARDS the sun.
Solar Intensity Units are: ph/s/m^2/um    
Distance to Sun in AU:    1.00721
S = Solar Rest Frame.  E = earth-centered rest frame.
        Wavenumber_E        Wavenumber_S   Wavelength_S [um]       Transmittance           Intensity
         13200.25000         13200.23686        0.7575621637        0.9674775237        0.467949E+22
         13200.24000         13200.22686        0.7575627376        0.9707235076        0.469519E+22
         13200.23000         13200.21686        0.7575633115        0.9736572952        0.470937E+22
         13200.22000         13200.20686        0.7575638854        0.9762953432        0.472213E+22
         13200.21000         13200.19686        0.7575644593        0.9786571734        0.473355E+22
         13200.20000         13200.18686        0.7575650332        0.9807639648        0.474374E+22
         13200.19000         13200.17686        0.7575656071        0.9826374191        0.475280E+22
         13200.18000         13200.16686        0.7575661810        0.9842988807        0.476083E+22
         13200.17000         13200.15686        0.7575667549        0.9857686826        0.476794E+22
         13200.16000         13200.14686        0.7575673288        0.9870656783        0.477421E+22
         13200.15000         13200.13686        0.7575679027        0.9882069218        0.477972E+22
         13200.14000         13200.12686        0.7575684767        0.9892074613        0.478456E+22
         13200.13000         13200.11686        0.7575690506        0.9900802181        0.478878E+22
         13200.12000         13200.10686        0.7575696245        0.9908359321        0.479243E+22
         13200.11000         13200.09686        0.7575701984        0.9914831626        0.479556E+22
         13200.10000         13200.08686        0.7575707723        0.9920283438        0.479819E+22
         13200.09000         13200.07686        0.7575713462        0.9924759001        0.480036E+22
         13200.08000         13200.06686        0.7575719201        0.9928284320        0.480206E+22
         13200.07000         13200.05686        0.7575724940        0.9930869879        0.480331E+22
         13200.06000         13200.04686        0.7575730680        0.9932514329        0.480410E+22
         13200.05000         13200.03686        0.7575736419        0.9933209225        0.480443E+22
         13200.04000         13200.02686        0.7575742158        0.9932944791        0.480430E+22
         13200.03000         13200.01686        0.7575747897        0.9931716548        0.480370E+22
         13200.02000         13200.00686        0.7575753636        0.9929532475        0.480265E+22
         13200.01000         13199.99686        0.7575759375        0.9926420225        0.480114E+22
         13200.00000         13199.98686        0.7575765115        0.9922433728        0.479921E+22
         13199.99000         13199.97686        0.7575770854        0.9917658467        0.479689E+22
         13199.98000         13199.96686        0.7575776593        0.9912214646        0.479426E+22
         13199.97000         13199.95686        0.7575782332        0.9906257579        0.479137E+22
         13199.96000         13199.94686        0.7575788072        0.9899974818        0.478833E+22
         13199.95000         13199.93686        0.7575793811        0.9893579811        0.478524E+22
         13199.94000         13199.92686        0.7575799550        0.9887302271        0.478220E+22
         13199.93000         13199.91686        0.7575805289        0.9881375782        0.477933E+22
         13199.92000         13199.90686        0.7575811029        0.9876023854        0.477674E+22
         13199.91000         13199.89686        0.7575816768        0.9871443714        0.477452E+22
         13199.90000         13199.88686        0.7575822507        0.9867794810        0.477275E+22
         13199.89000         13199.87686        0.7575828247        0.9865184177        0.477149E+22
         13199.88000         13199.86686        0.7575833986        0.9863658814        0.477075E+22
         13199.87000         13199.85686        0.7575839725        0.9863200821        0.477052E+22
         13199.86000         13199.84686        0.7575845465        0.9863727309        0.477077E+22
         13199.85000         13199.83686        0.7575851204        0.9865095074        0.477143E+22
         13199.84000         13199.82686        0.7575856943        0.9867107756        0.477240E+22
         13199.83000         13199.81686        0.7575862683        0.9869530462        0.477357E+22
         13199.82000         13199.80686        0.7575868422        0.9872100277        0.477481E+22
         13199.81000         13199.79686        0.7575874161        0.9874541944        0.477599E+22
         13199.80000         13199.78686        0.7575879901        0.9876580828        0.477697E+22
         13199.79000         13199.77686        0.7575885640        0.9877954157        0.477763E+22
         13199.78000         13199.76686        0.7575891380        0.9878419300        0.477786E+22
         13199.77000         13199.75686        0.7575897119        0.9877758544        0.477753E+22
         13199.76000         13199.74686        0.7575902858        0.9875780174        0.477658E+22
         13199.75000         13199.73686        0.7575908598        0.9872316057        0.477490E+22
         13199.74000         13199.72686        0.7575914337        0.9867216170        0.477243E+22
         13199.73000         13199.71686        0.7575920077        0.9860340723        0.476910E+22
         13199.72000         13199.70686        0.7575925816        0.9851550550        0.476485E+22
         13199.71000         13199.69686        0.7575931556        0.9840696471        0.475959E+22
         13199.70000         13199.68686        0.7575937295        0.9827608170        0.475326E+22
         13199.69000         13199.67686        0.7575943035        0.9812083004        0.474575E+22
         13199.68000         13199.66686        0.7575948774        0.9793875022        0.473694E+22
         13199.67000         13199.65686        0.7575954514        0.9772684292        0.472669E+22
         13199.66000         13199.64686        0.7575960253        0.9748146586        0.471482E+22
         13199.65000         13199.63686        0.7575965993        0.9719823430        0.470111E+22
         13199.64000         13199.62686        0.7575971732        0.9687192603        0.468533E+22
         13199.63000         13199.61686        0.7575977472        0.9649639343        0.466716E+22
         13199.62000         13199.60686        0.7575983211        0.9606448763        0.464627E+22
         13199.61000         13199.59686        0.7575988951        0.9556800407        0.462226E+22
         13199.60000         13199.58686        0.7575994690        0.9499766357        0.459467E+22
         13199.59000         13199.57686        0.7576000430        0.9434314896        0.456301E+22
         13199.58000         13199.56686        0.7576006169        0.9359322408        0.452674E+22
         13199.57000         13199.55686        0.7576011909        0.9273596804        0.448527E+22
         13199.56000         13199.54686        0.7576017649        0.9175916180        0.443802E+22
         13199.55000         13199.53686        0.7576023388        0.9065086437        0.438442E+22
         13199.54000         13199.52686        0.7576029128        0.8940020852        0.432393E+22
         13199.53000         13199.51686        0.7576034867        0.8799842774        0.425612E+22
         13199.52000         13199.50686        0.7576040607        0.8644009513        0.418075E+22
         13199.51000         13199.49686        0.7576046347        0.8472450933        0.409777E+22
         13199.50000         13199.48686        0.7576052086        0.8285710799        0.400745E+22
         13199.49000         13199.47686        0.7576057826        0.8085073408        0.391041E+22
         13199.48000         13199.46686        0.7576063566        0.7872654180        0.380767E+22
         13199.47000         13199.45686        0.7576069305        0.7651432420        0.370067E+22
         13199.46000         13199.44686        0.7576075045        0.7425209068        0.359126E+22
         13199.45000         13199.43686        0.7576080785        0.7198482118        0.348160E+22
         13199.44000         13199.42686        0.7576086524        0.6976246182        0.337411E+22
         13199.43000         13199.41686        0.7576092264        0.6763737008        0.327132E+22
         13199.42000         13199.40686        0.7576098004        0.6566152628        0.317576E+22
         13199.41000         13199.39686        0.7576103744        0.6388386700        0.308978E+22
         13199.40000         13199.38686        0.7576109483        0.6234805285        0.301550E+22
         13199.39000         13199.37686        0.7576115223        0.6109089047        0.295469E+22
         13199.38000         13199.36686        0.7576120963        0.6014134077        0.290877E+22
         13199.37000         13199.35686        0.7576126703        0.5952041399        0.287873E+22
         13199.36000         13199.34686        0.7576132442        0.5924120003        0.286523E+22
         13199.35000         13199.33686        0.7576138182        0.5930934677        0.286852E+22
         13199.34000         13199.32686        0.7576143922        0.5972350744        0.288855E+22
         13199.33000         13199.31686        0.7576149662        0.6047519412        0.292490E+22
         13199.32000         13199.30686        0.7576155401        0.6154833019        0.297681E+22
         13199.31000         13199.29686        0.7576161141        0.6291869617        0.304308E+22
         13199.30000         13199.28686        0.7576166881        0.6455431769        0.312219E+22
         13199.29000         13199.27686        0.7576172621        0.6641554108        0.321220E+22
         13199.28000         13199.26686        0.7576178361        0.6845642383        0.331091E+22
         13199.27000         13199.25686        0.7576184101        0.7062654925        0.341587E+22
         13199.26000         13199.24686        0.7576189840        0.7287345940        0.352454E+22
         13199.25000         13199.23686        0.7576195580        0.7514541069        0.363442E+22
         13199.24000         13199.22686        0.7576201320        0.7739411341        0.374317E+22
         13199.23000         13199.21686        0.7576207060        0.7957710503        0.384875E+22
         13199.22000         13199.20686        0.7576212800        0.8165947613        0.394946E+22
         13199.21000         13199.19686        0.7576218540        0.8361479492        0.404403E+22
         13199.20000         13199.18686        0.7576224280        0.8542522207        0.413159E+22
         13199.19000         13199.17686        0.7576230020        0.8708093361        0.421167E+22
         13199.18000         13199.16686        0.7576235760        0.8857904805        0.428412E+22
         13199.17000         13199.15687        0.7576241500        0.8992227912        0.434908E+22
         13199.16000         13199.14687        0.7576247240        0.9111751561        0.440689E+22
         13199.15000         13199.13687        0.7576252979        0.9217448234        0.445801E+22
         13199.14000         13199.12687        0.7576258719        0.9310457993        0.450299E+22
         13199.13000         13199.11687        0.7576264459        0.9391994913        0.454242E+22
         13199.12000         13199.10687        0.7576270199        0.9463276522        0.457689E+22
         13199.11000         13199.09687        0.7576275939        0.9525474232        0.460697E+22
         13199.10000         13199.08687        0.7576281679        0.9579681361        0.463319E+22
         13199.09000         13199.07687        0.7576287419        0.9626894957        0.465602E+22
         13199.08000         13199.06687        0.7576293159        0.9668007810        0.467590E+22
         13199.07000         13199.05687        0.7576298899        0.9703807537        0.469321E+22
         13199.06000         13199.04687        0.7576304639        0.9734980258        0.470828E+22
         13199.05000         13199.03687        0.7576310379        0.9762117006        0.472141E+22
         13199.04000         13199.02687        0.7576316119        0.9785721539        0.473282E+22
         13199.03000         13199.01687        0.7576321860        0.9806218690        0.474273E+22
         13199.02000         13199.00687        0.7576327600        0.9823962741        0.475131E+22
         13199.01000         13198.99687        0.7576333340        0.9839245548        0.475870E+22
         13199.00000         13198.98687        0.7576339080        0.9852304346        0.476501E+22
         13198.99000         13198.97687        0.7576344820        0.9863329289        0.477034E+22
         13198.98000         13198.96687        0.7576350560        0.9872470815        0.477476E+22
         13198.97000         13198.95687        0.7576356300        0.9879846988        0.477832E+22
         13198.96000         13198.94687        0.7576362040        0.9885550932        0.478108E+22
         13198.95000         13198.93687        0.7576367780        0.9889658419        0.478306E+22
         13198.94000         13198.92687        0.7576373520        0.9892235613        0.478431E+22
         13198.93000         13198.91687        0.7576379261        0.9893346872        0.478484E+22
         13198.92000         13198.90687        0.7576385001        0.9893062410        0.478470E+22
         13198.91000         13198.89687        0.7576390741        0.9891465514        0.478393E+22
         13198.90000         13198.88687        0.7576396481        0.9888658944        0.478257E+22
         13198.89000         13198.87687        0.7576402221        0.9884770080        0.478068E+22
         13198.88000         13198.86687        0.7576407961        0.9879954383        0.477835E+22
         13198.87000         13198.85687        0.7576413702        0.9874396782        0.477566E+22
         13198.86000         13198.84687        0.7576419442        0.9868310680        0.477271E+22
         13198.85000         13198.83687        0.7576425182        0.9861934450        0.476963E+22
         13198.84000         13198.82687        0.7576430922        0.9855525442        0.476653E+22
         13198.83000         13198.81687        0.7576436662        0.9849351763        0.476354E+22
         13198.82000         13198.80687        0.7576442403        0.9843682270        0.476079E+22
         13198.81000         13198.79687        0.7576448143        0.9838775401        0.475842E+22
         13198.80000         13198.78687        0.7576453883        0.9834867694        0.475652E+22
         13198.79000         13198.77687        0.7576459623        0.9832162212        0.475521E+22
         13198.78000         13198.76687        0.7576465364        0.9830819487        0.475456E+22
         13198.77000         13198.75687        0.7576471104        0.9830948879        0.475462E+22
         13198.76000         13198.74687        0.7576476844        0.9832603465        0.475542E+22
         13198.75000         13198.73687        0.7576482585        0.9835777830        0.475695E+22
         13198.74000         13198.72687        0.7576488325        0.9840408690        0.475919E+22
