Solar Doppler Velocity [m/s]:   298.33                # Note: Positive means FOV moving TOWARDS the sun.
Solar Intensity Units are: ph/s/m^2/um    
Distance to Sun in AU:    1.00721
S = Solar Rest Frame.  E = earth-centered rest frame.
        Wavenumber_E        Wavenumber_S   Wavelength_S [um]       Transmittance           Intensity
          4893.66000          4893.65513        2.0434623475        0.9998937339        0.116083E+22
          4893.65000          4893.64513        2.0434665232        0.9999161183        0.116085E+22
          4893.64000          4893.63513        2.0434706990        0.9999239616        0.116085E+22
          4893.63000          4893.62513        2.0434748748        0.9999175829        0.116084E+22
          4893.62000          4893.61513        2.0434790506        0.9998942291        0.116081E+22
          4893.61000          4893.60513        2.0434832264        0.9998469822        0.116075E+22
          4893.60000          4893.59513        2.0434874022        0.9997629811        0.116064E+22
          4893.59000          4893.58513        2.0434915780        0.9996209920        0.116047E+22
          4893.58000          4893.57513        2.0434957539        0.9993890277        0.116019E+22
          4893.57000          4893.56513        2.0434999298        0.9990240437        0.115976E+22
          4893.56000          4893.55513        2.0435041057        0.9984775325        0.115912E+22
          4893.55000          4893.54513        2.0435082816        0.9977116011        0.115823E+22
          4893.54000          4893.53513        2.0435124575        0.9967267532        0.115708E+22
          4893.53000          4893.52513        2.0435166335        0.9955928690        0.115576E+22
          4893.52000          4893.51513        2.0435208094        0.9944630494        0.115444E+22
          4893.51000          4893.50513        2.0435249854        0.9935488759        0.115337E+22
          4893.50000          4893.49513        2.0435291614        0.9930550808        0.115279E+22
          4893.49000          4893.48513        2.0435333374        0.9931021976        0.115284E+22
          4893.48000          4893.47513        2.0435375135        0.9936784818        0.115350E+22
          4893.47000          4893.46513        2.0435416895        0.9946446311        0.115462E+22
          4893.46000          4893.45513        2.0435458656        0.9957891234        0.115594E+22
          4893.45000          4893.44513        2.0435500417        0.9969066070        0.115723E+22
          4893.44000          4893.43513        2.0435542178        0.9978575485        0.115833E+22
          4893.43000          4893.42513        2.0435583939        0.9985855658        0.115916E+22
          4893.42000          4893.41513        2.0435625700        0.9990989930        0.115975E+22
          4893.41000          4893.40513        2.0435667462        0.9994393037        0.116014E+22
          4893.40000          4893.39513        2.0435709223        0.9996550683        0.116039E+22
          4893.39000          4893.38513        2.0435750985        0.9997879355        0.116053E+22
          4893.38000          4893.37513        2.0435792747        0.9998684219        0.116062E+22
          4893.37000          4893.36513        2.0435834510        0.9999169381        0.116067E+22
          4893.36000          4893.35513        2.0435876272        0.9999461425        0.116070E+22
          4893.35000          4893.34513        2.0435918034        0.9999638632        0.116071E+22
          4893.34000          4893.33513        2.0435959797        0.9999747217        0.116072E+22
          4893.33000          4893.32513        2.0436001560        0.9999814494        0.116072E+22
          4893.32000          4893.31513        2.0436043323        0.9999856619        0.116072E+22
          4893.31000          4893.30513        2.0436085086        0.9999883209        0.116071E+22
          4893.30000          4893.29513        2.0436126850        0.9999900044        0.116071E+22
          4893.29000          4893.28513        2.0436168613        0.9999910648        0.116070E+22
          4893.28000          4893.27513        2.0436210377        0.9999917194        0.116070E+22
          4893.27000          4893.26513        2.0436252141        0.9999921042        0.116069E+22
          4893.26000          4893.25513        2.0436293905        0.9999923058        0.116069E+22
          4893.25000          4893.24513        2.0436335669        0.9999923798        0.116068E+22
          4893.24000          4893.23513        2.0436377434        0.9999923623        0.116067E+22
          4893.23000          4893.22513        2.0436419198        0.9999922772        0.116067E+22
          4893.22000          4893.21513        2.0436460963        0.9999921402        0.116066E+22
          4893.21000          4893.20513        2.0436502728        0.9999919617        0.116065E+22
          4893.20000          4893.19513        2.0436544493        0.9999917485        0.116065E+22
          4893.19000          4893.18513        2.0436586258        0.9999915051        0.116064E+22
          4893.18000          4893.17513        2.0436628024        0.9999912340        0.116063E+22
          4893.17000          4893.16513        2.0436669790        0.9999909368        0.116063E+22
          4893.16000          4893.15513        2.0436711555        0.9999906140        0.116062E+22
          4893.15000          4893.14513        2.0436753321        0.9999902655        0.116061E+22
          4893.14000          4893.13513        2.0436795087        0.9999898906        0.116061E+22
          4893.13000          4893.12513        2.0436836854        0.9999894883        0.116060E+22
          4893.12000          4893.11513        2.0436878620        0.9999890569        0.116059E+22
          4893.11000          4893.10513        2.0436920387        0.9999885947        0.116058E+22
          4893.10000          4893.09513        2.0436962154        0.9999880995        0.116058E+22
          4893.09000          4893.08513        2.0437003921        0.9999875687        0.116057E+22
          4893.08000          4893.07513        2.0437045688        0.9999869994        0.116056E+22
          4893.07000          4893.06513        2.0437087455        0.9999863883        0.116056E+22
          4893.06000          4893.05513        2.0437129223        0.9999857318        0.116055E+22
          4893.05000          4893.04513        2.0437170990        0.9999850258        0.116054E+22
          4893.04000          4893.03513        2.0437212758        0.9999842656        0.116053E+22
          4893.03000          4893.02513        2.0437254526        0.9999834460        0.116053E+22
          4893.02000          4893.01513        2.0437296294        0.9999825614        0.116052E+22
          4893.01000          4893.00513        2.0437338063        0.9999816052        0.116051E+22
          4893.00000          4892.99513        2.0437379831        0.9999805701        0.116050E+22
          4892.99000          4892.98513        2.0437421600        0.9999794480        0.116050E+22
          4892.98000          4892.97513        2.0437463369        0.9999782297        0.116049E+22
          4892.97000          4892.96513        2.0437505138        0.9999769048        0.116048E+22
          4892.96000          4892.95513        2.0437546907        0.9999754617        0.116047E+22
          4892.95000          4892.94513        2.0437588676        0.9999738869        0.116046E+22
          4892.94000          4892.93513        2.0437630446        0.9999721655        0.116045E+22
          4892.93000          4892.92513        2.0437672216        0.9999702803        0.116045E+22
          4892.92000          4892.91513        2.0437713985        0.9999682115        0.116044E+22
          4892.91000          4892.90513        2.0437755756        0.9999659368        0.116043E+22
          4892.90000          4892.89513        2.0437797526        0.9999634302        0.116042E+22
          4892.89000          4892.88513        2.0437839296        0.9999606619        0.116041E+22
          4892.88000          4892.87513        2.0437881067        0.9999575974        0.116040E+22
          4892.87000          4892.86513        2.0437922838        0.9999541263        0.116039E+22
          4892.86000          4892.85513        2.0437964608        0.9999503410        0.116038E+22
          4892.85000          4892.84513        2.0438006379        0.9999461177        0.116037E+22
          4892.84000          4892.83513        2.0438048151        0.9999413915        0.116035E+22
          4892.83000          4892.82513        2.0438089922        0.9999360860        0.116034E+22
          4892.82000          4892.81513        2.0438131694        0.9999301101        0.116033E+22
          4892.81000          4892.80513        2.0438173466        0.9999233546        0.116031E+22
          4892.80000          4892.79513        2.0438215237        0.9999156881        0.116030E+22
          4892.79000          4892.78513        2.0438257010        0.9999069512        0.116028E+22
          4892.78000          4892.77513        2.0438298782        0.9998969490        0.116026E+22
          4892.77000          4892.76513        2.0438340554        0.9998854413        0.116024E+22
          4892.76000          4892.75513        2.0438382327        0.9998721296        0.116022E+22
          4892.75000          4892.74513        2.0438424100        0.9998566397        0.116020E+22
          4892.74000          4892.73513        2.0438465873        0.9998384971        0.116017E+22
          4892.73000          4892.72513        2.0438507646        0.9998170944        0.116014E+22
          4892.72000          4892.71513        2.0438549419        0.9997916453        0.116010E+22
          4892.71000          4892.70513        2.0438591193        0.9997611197        0.116006E+22
          4892.70000          4892.69513        2.0438632966        0.9997241536        0.116001E+22
          4892.69000          4892.68513        2.0438674740        0.9996789217        0.115995E+22
          4892.68000          4892.67513        2.0438716514        0.9996229622        0.115988E+22
          4892.67000          4892.66513        2.0438758288        0.9995529437        0.115979E+22
          4892.66000          4892.65513        2.0438800063        0.9994643830        0.115968E+22
          4892.65000          4892.64513        2.0438841837        0.9993513808        0.115955E+22
          4892.64000          4892.63513        2.0438883612        0.9992065921        0.115937E+22
          4892.63000          4892.62513        2.0438925387        0.9990219824        0.115915E+22
          4892.62000          4892.61513        2.0438967162        0.9987914519        0.115888E+22
          4892.61000          4892.60513        2.0439008937        0.9985167461        0.115855E+22
          4892.60000          4892.59513        2.0439050712        0.9982166536        0.115820E+22
          4892.59000          4892.58513        2.0439092488        0.9979342773        0.115786E+22
          4892.58000          4892.57513        2.0439134263        0.9977310952        0.115762E+22
          4892.57000          4892.56513        2.0439176039        0.9976621799        0.115753E+22
          4892.56000          4892.55513        2.0439217815        0.9977477164        0.115763E+22
          4892.55000          4892.54513        2.0439259591        0.9979626026        0.115787E+22
          4892.54000          4892.53513        2.0439301368        0.9982494424        0.115820E+22
          4892.53000          4892.52513        2.0439343144        0.9985478993        0.115854E+22
          4892.52000          4892.51513        2.0439384921        0.9988176798        0.115884E+22
          4892.51000          4892.50513        2.0439426698        0.9990424123        0.115910E+22
          4892.50000          4892.49513        2.0439468475        0.9992216591        0.115930E+22
          4892.49000          4892.48513        2.0439510252        0.9993619627        0.115945E+22
          4892.48000          4892.47513        2.0439552030        0.9994713626        0.115957E+22
