begin HEADER
  File_Creation = 2008-03-05T22:33:25 UTC
  File_ID = "GFIT Atmospheric State modified from: /home/dwunch/analysis/jpl_ifs3/080226_27/jc20080226_27_from20080224mod.mav"
  Labels =  "Pressure"  "T"  "H2O"  "CO2"  "O2"  "CH4" 
  Num_Columns = 6
  Num_Rows = 71
  Units =  "Pa"  "K"  "VMR"  "VMR"  "VMR"  "VMR" 
end HEADER

#         Pressure           T        H2O        CO2         O2        CH4
#               Pa           K        VMR        VMR        VMR        VMR
    2.74388100e+02  2.5091e+02  6.916e-06  3.799e-04  2.095e-01  3.727e-07
    3.14107500e+02  2.4809e+02  6.881e-06  3.800e-04  2.095e-01  4.016e-07
    3.60109050e+02  2.4528e+02  6.845e-06  3.801e-04  2.095e-01  4.309e-07
    4.13507325e+02  2.4246e+02  6.809e-06  3.802e-04  2.095e-01  4.605e-07
    4.75619550e+02  2.3964e+02  6.773e-06  3.803e-04  2.095e-01  4.952e-07
    5.47965600e+02  2.3702e+02  6.718e-06  3.804e-04  2.095e-01  5.302e-07
    6.32369325e+02  2.3449e+02  6.652e-06  3.806e-04  2.095e-01  5.657e-07
    7.30857225e+02  2.3196e+02  6.587e-06  3.807e-04  2.095e-01  6.028e-07
    8.46165075e+02  2.2944e+02  6.521e-06  3.809e-04  2.095e-01  6.403e-07
    9.81231300e+02  2.2691e+02  6.455e-06  3.810e-04  2.095e-01  6.784e-07
    1.13990625e+03  2.2384e+02  6.362e-06  3.812e-04  2.095e-01  7.170e-07
    1.32735750e+03  2.2069e+02  6.264e-06  3.814e-04  2.095e-01  7.562e-07
    1.54925925e+03  2.1753e+02  6.166e-06  3.817e-04  2.095e-01  8.004e-07
    1.81169100e+03  2.1438e+02  6.068e-06  3.819e-04  2.095e-01  8.484e-07
    2.12377200e+03  2.1255e+02  5.961e-06  3.822e-04  2.095e-01  8.988e-07
    2.48955525e+03  2.1292e+02  5.839e-06  3.825e-04  2.095e-01  9.512e-07
    2.91917325e+03  2.1329e+02  5.716e-06  3.828e-04  2.095e-01  1.007e-06
    3.42275850e+03  2.1235e+02  5.581e-06  3.831e-04  2.095e-01  1.065e-06
    4.01652300e+03  2.1113e+02  5.443e-06  3.835e-04  2.095e-01  1.131e-06
    4.71769200e+03  2.0990e+02  5.305e-06  3.839e-04  2.095e-01  1.201e-06
    5.54653050e+03  2.0940e+02  6.016e-06  3.844e-04  2.095e-01  1.272e-06
    6.52229025e+03  2.0930e+02  7.204e-06  3.848e-04  2.095e-01  1.344e-06
    7.67030250e+03  2.0991e+02  1.056e-05  3.854e-04  2.095e-01  1.415e-06
    9.01184550e+03  2.1107e+02  1.558e-05  3.859e-04  2.095e-01  1.487e-06
    1.05783300e+04  2.1240e+02  2.340e-05  3.865e-04  2.095e-01  1.556e-06
    1.24021800e+04  2.1404e+02  3.635e-05  3.872e-04  2.095e-01  1.616e-06
    1.45300050e+04  2.1568e+02  4.930e-05  3.879e-04  2.095e-01  1.662e-06
    1.70124675e+04  2.1543e+02  7.588e-05  3.887e-04  2.095e-01  1.695e-06
    1.99204950e+04  2.1470e+02  1.059e-04  3.888e-04  2.095e-01  1.711e-06
    2.33047500e+04  2.1909e+02  1.609e-04  3.904e-04  2.095e-01  1.718e-06
    2.71753650e+04  2.2505e+02  2.347e-04  3.907e-04  2.095e-01  1.721e-06
    3.15323400e+04  2.3244e+02  3.669e-04  3.911e-04  2.095e-01  1.721e-06
    3.64162050e+04  2.4028e+02  5.835e-04  3.915e-04  2.095e-01  1.721e-06
    4.18674900e+04  2.4783e+02  7.889e-04  3.920e-04  2.095e-01  1.721e-06
    4.79469900e+04  2.5483e+02  9.715e-04  3.925e-04  2.095e-01  1.721e-06
    5.47155000e+04  2.6128e+02  1.101e-03  3.932e-04  2.095e-01  1.721e-06
    6.22439475e+04  2.6721e+02  1.721e-03  3.939e-04  2.095e-01  1.721e-06
    7.06235250e+04  2.7233e+02  3.698e-03  3.948e-04  2.095e-01  1.721e-06
    7.99859550e+04  2.7546e+02  6.592e-03  3.958e-04  2.095e-01  1.721e-06
    9.04528275e+04  2.8005e+02  1.015e-02  3.970e-04  2.095e-01  1.721e-06
    1.02034275e+05  2.8752e+02  1.482e-02  3.982e-04  2.095e-01  1.721e-06
