begin HEADER
  File_Creation = 2008-03-05T22:33:25 UTC
  File_ID = "GFIT Atmospheric State modified from: /home/dwunch/analysis/jpl_ifs3/080226_27/jc20080226_27_from20080224mod.mav"
  Labels =  "Pressure"  "T"  "H2O"  "CO2"  "O2"  "CH4" 
  Num_Columns = 6
  Num_Rows = 71
  Units =  "Pa"  "K"  "VMR"  "VMR"  "VMR"  "VMR" 
end HEADER

#         Pressure           T        H2O        CO2         O2        CH4
#               Pa           K        VMR        VMR        VMR        VMR
    4.78760625e+00  2.2022e+02  7.192e-06  3.788e-04  2.095e-01  1.952e-08
    5.56780875e+00  2.2249e+02  7.192e-06  3.788e-04  2.095e-01  2.232e-08
    6.46453500e+00  2.2476e+02  7.191e-06  3.788e-04  2.095e-01  2.579e-08
    7.49602350e+00  2.2704e+02  7.190e-06  3.789e-04  2.095e-01  2.997e-08
    8.67848625e+00  2.2931e+02  7.190e-06  3.789e-04  2.095e-01  3.359e-08
    1.00342148e+01  2.3158e+02  7.189e-06  3.789e-04  2.095e-01  3.862e-08
    1.15814475e+01  2.3384e+02  7.184e-06  3.789e-04  2.095e-01  4.374e-08
    1.33546350e+01  2.3610e+02  7.178e-06  3.789e-04  2.095e-01  4.964e-08
    1.53811350e+01  2.3836e+02  7.173e-06  3.790e-04  2.095e-01  5.567e-08
    1.76913450e+01  2.4062e+02  7.168e-06  3.790e-04  2.095e-01  6.251e-08
    2.03156625e+01  2.4288e+02  7.162e-06  3.790e-04  2.095e-01  6.948e-08
    2.33047500e+01  2.4514e+02  7.157e-06  3.790e-04  2.095e-01  7.728e-08
    2.67092700e+01  2.4740e+02  7.151e-06  3.790e-04  2.095e-01  8.593e-08
    3.05596200e+01  2.4966e+02  7.146e-06  3.791e-04  2.095e-01  9.632e-08
    3.49368600e+01  2.5193e+02  7.141e-06  3.791e-04  2.095e-01  1.081e-07
    3.98815200e+01  2.5419e+02  7.135e-06  3.791e-04  2.095e-01  1.202e-07
    4.54847925e+01  2.5646e+02  7.130e-06  3.792e-04  2.095e-01  1.326e-07
    5.18176050e+01  2.5872e+02  7.125e-06  3.792e-04  2.095e-01  1.453e-07
    5.89610175e+01  2.6099e+02  7.119e-06  3.792e-04  2.095e-01  1.578e-07
    6.70264875e+01  2.6326e+02  7.114e-06  3.793e-04  2.095e-01  1.711e-07
    7.61052075e+01  2.6552e+02  7.109e-06  3.793e-04  2.095e-01  1.844e-07
    8.63289000e+01  2.6779e+02  7.103e-06  3.794e-04  2.095e-01  1.984e-07
    9.78292875e+01  2.7006e+02  7.098e-06  3.794e-04  2.095e-01  2.129e-07
    1.10849550e+02  2.6852e+02  7.083e-06  3.795e-04  2.095e-01  2.276e-07
    1.25643000e+02  2.6616e+02  7.065e-06  3.795e-04  2.095e-01  2.442e-07
    1.42665600e+02  2.6380e+02  7.048e-06  3.796e-04  2.095e-01  2.619e-07
    1.62221325e+02  2.6144e+02  7.030e-06  3.796e-04  2.095e-01  2.815e-07
    1.84614150e+02  2.5907e+02  7.013e-06  3.797e-04  2.095e-01  3.020e-07
    2.10350700e+02  2.5654e+02  6.988e-06  3.798e-04  2.095e-01  3.247e-07
    2.40038925e+02  2.5372e+02  6.952e-06  3.798e-04  2.095e-01  3.485e-07
