begin HEADER
  File_Creation = 2008-03-06T23:47:35 UTC
  File_ID = "Aerosol Perturbations"
  File_Type = "Matrix"
  Labels =  "Pressure"  "LOW_005"  "MID_005"  "HIGH_005"  "LOW_015"  "MID_015"  "HIGH_015"  "LOW_025"  "MID_025"  "HIGH_025" 
  Num_Columns = 10
  Num_Rows = 20
end HEADER

#   Pressure        LOW_005        MID_005       HIGH_005        LOW_015        MID_015       HIGH_015        LOW_025        MID_025       HIGH_025
         100  1.0260272e-33  1.0260272e-33  1.0260272e-33  1.0260272e-33  1.0260272e-33  1.0260272e-33  1.0260272e-33  1.0260272e-33  1.0260272e-33
        7000  1.0260272e-33  1.0260272e-33  1.0260272e-33  1.0260272e-33  1.0260272e-33  1.0260272e-33  1.0260272e-33  1.0260272e-33  1.0260272e-33
       10000  1.0053672e-11  1.0053672e-11  1.0053672e-11  1.0053672e-11  1.0053672e-11  1.0053672e-11  1.0053672e-11  1.0053672e-11  1.0053672e-11
       20000  4.7468711e-11  4.7468711e-11  4.7468711e-11  4.7468711e-11  4.7468711e-11  4.7468711e-11  4.7468711e-11  4.7468711e-11  4.7468711e-11
       28000  7.7828203e-11  7.7828203e-11  7.7828203e-11  7.7828203e-11  7.7828203e-11  7.7828203e-11  7.7828203e-11  7.7828203e-11  7.7828203e-11
       35000  1.0654016e-10  1.0654016e-10  1.0654016e-10  1.0654016e-10  1.0654016e-10  1.0654016e-10  1.0654016e-10  1.0654016e-10  1.0654016e-10
       40000  1.3001700e-10  1.3001700e-10  1.3001700e-10  1.3001700e-10  1.3001700e-10  1.3001700e-10  1.3001700e-10  1.3001700e-10  1.3001700e-10
       45000  1.7028490e-10  1.7028490e-10  1.7028490e-10  1.7028490e-10  1.7028490e-10  1.7028490e-10  1.7028490e-10  1.7028490e-10  1.7028490e-10
       50000  2.1422184e-10  2.1422184e-10  2.1422184e-10  2.1422184e-10  2.1422184e-10  2.1422184e-10  2.1422184e-10  2.1422184e-10  2.1422184e-10
       55000  3.1214289e-10  3.1214289e-10  3.1214289e-10  3.1214289e-10  3.1214289e-10  3.1214289e-10  3.1214289e-10  3.1214289e-10  3.1214289e-10
       60000  4.1395650e-10  4.1395650e-10  4.1395650e-10  4.1395650e-10  4.1395650e-10  4.1395650e-10  4.1395650e-10  4.1395650e-10  4.1395650e-10
       65000  5.9601484e-10  5.9601484e-10  5.9601484e-10  5.9601484e-10  5.9601484e-10  5.9601484e-10  5.9601484e-10  5.9601484e-10  5.9601484e-10
       70000  8.0040009e-10  8.0040009e-10  8.0040009e-10  8.0040009e-10  8.0040009e-10  8.0040009e-10  8.0040009e-10  8.0040009e-10  8.0040009e-10
       75000  1.1014002e-09  1.1014002e-09  1.1014002e-09  1.1014002e-09  1.1014002e-09  1.1014002e-09  1.1014002e-09  1.1014002e-09  1.1014002e-09
       80000  1.4471110e-09  1.4471110e-09  1.4471110e-09  1.4471110e-09  1.4471110e-09  1.4471110e-09  1.4471110e-09  1.4471110e-09  1.4471110e-09
       85000  1.8534932e-09  1.8534932e-09  1.8534932e-09  1.8534932e-09  1.8534932e-09  1.8534932e-09  1.8534932e-09  1.8534932e-09  1.8534932e-09
       90000  2.3555990e-09  2.3555990e-09  2.3555990e-09  2.3555990e-09  2.3555990e-09  2.3555990e-09  2.3555990e-09  2.3555990e-09  2.3555990e-09
       95000  2.8990296e-09  2.8990296e-09  2.8990296e-09  2.8990296e-09  2.8990296e-09  2.8990296e-09  2.8990296e-09  2.8990296e-09  2.8990296e-09
      100000  3.5910874e-09  3.5910874e-09  3.5910874e-09  3.5910874e-09  3.5910874e-09  3.5910874e-09  3.5910874e-09  3.5910874e-09  3.5910874e-09
      105000  4.2864471e-09  4.2864471e-09  4.2864471e-09  4.2864471e-09  4.2864471e-09  4.2864471e-09  4.2864471e-09  4.2864471e-09  4.2864471e-09
