begin HEADER
  File_ID = "Aerosol Profile"
  File_Creation = Wed Oct 10 11:47:48 2007
  File_Type = "Matrix"
  Num_Rows = 12
  Num_Columns = 10
  Retrieval_Mode = logarithmic
  Labels = "Pressure" "Low_025" "Mid_025" "High_025" "Low1_025" "Mid1_025" "High1_025" "Low2_025" "Mid2_025" "High2_025"
end HEADER
#       Pressure         Low_025         Mid_025        High_025        Low1_025        Mid1_025       High1_025        Low2_025         Mid2_025      High2_025
       100.00000      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776
       7000.0000      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776
       10000.000      -34.538776      -34.538776      -17.296639      -34.538776      -34.538776      -17.296639      -34.538776      -34.538776      -17.296639
       20000.000      -18.720761      -20.848060      -12.827616      -18.720761      -20.848060      -12.827616      -18.720761      -20.848060      -12.827616
       35000.000      -16.622202      -15.497494      -12.775317      -16.622202      -15.497494      -12.775317      -16.622202      -15.497494      -12.775317
       45000.000      -15.679773      -14.128302      -13.785491      -15.679773      -14.128302      -13.785491      -15.679773      -14.128302      -13.785491
       55000.000      -14.927257      -13.495052      -15.052128      -14.927257      -13.495052      -15.052128      -14.927257      -13.495052      -15.052128
       65000.000      -14.300805      -13.279456      -16.418148      -14.300805      -13.279456      -16.418148      -14.300805      -13.279456      -16.418148
       75000.000      -13.764176      -13.319886      -17.813411      -13.764176      -13.319886      -17.813411      -13.764176      -13.319886      -17.813411
       85000.000      -13.294815      -13.525547      -19.204078      -13.294815      -13.525547      -19.204078      -13.294815      -13.525547      -19.204078
       95000.000      -12.877719      -13.841663      -20.573242      -12.877719      -13.841663      -20.573242      -12.877719      -13.841663      -20.573242
       105000.00      -12.502406      -14.233376      -21.912514      -12.502406      -14.233376      -21.912514      -12.502406      -14.233376      -21.912514
