begin HEADER
  File_ID = "Aerosol Perturbations"
  File_Creation = "Tue Apr 25 12:15:16 PDT 2006"
  File_Type = "Matrix"
  Num_Rows = 12
  Num_Columns = 2
  Labels = "Pressure" "TROP_003"
end HEADER

# Pressure       TROP_003
   100.000  1.0260272E-33
   7000.00  1.0260272E-33
   10000.0  1.0260272E-33
   20000.0  6.4437587E-11
   35000.0  1.3673577E-10
   45000.0  2.1962814E-10
   55000.0  4.0318358E-10
   65000.0  7.2283603E-10
   75000.0  1.2617465E-09
   85000.0  1.9999047E-09
   95000.0  2.9980108E-09
  105000.0  4.2864471E-09
