begin HEADER
  File_ID = "Aerosol Profile"
  File_Creation = Tue Mar 25 18:32:50 2008
  File_Type = "Matrix"
  Num_Rows =       40
  Num_Columns = 10
  Retrieval_Mode = logarithmic
  Labels = "Pressure" "Low_025" "Mid_025" "High_025" "Low1_025" "Mid1_025" "High1_025" "Low2_025" "Mid2_025" "High2_025"
end HEADER
#       Pressure         Low_025         Mid_025        High_025        Low1_025        Mid1_025       High1_025        Low2_025        Mid2_025       High2_025
       100.00000      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776
       3000.0000      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776
       5000.0000      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776
       7000.0000      -34.538776      -34.538776      -21.580084      -34.538776      -34.538776      -21.580084      -34.538776      -34.538776      -21.580084
       8500.0000      -21.916478      -35.169865      -19.134417      -21.916478      -35.169865      -19.134417      -21.916478      -35.169865      -19.134417
       10000.000      -21.307032      -31.878038      -17.381267      -21.307032      -31.878038      -17.381267      -21.307032      -31.878038      -17.381267
       15000.000      -19.786538      -24.833390      -14.175436      -19.786538      -24.833390      -14.175436      -19.786538      -24.833390      -14.175436
       20000.000      -18.707730      -20.846515      -12.912244      -18.707730      -20.846515      -12.912244      -18.707730      -20.846515      -12.912244
       24000.000      -18.024025      -18.754417      -12.546310      -18.024025      -18.754417      -12.546310      -18.024025      -18.754417      -12.546310
       28000.000      -17.445960      -17.248644      -12.499987      -17.445960      -17.248644      -12.499987      -17.445960      -17.248644      -12.499987
       31500.000      -17.004273      -16.260568      -12.627044      -17.004273      -16.260568      -12.627044      -17.004273      -16.260568      -12.627044
       35000.000      -16.609171      -15.495949      -12.859945      -16.609171      -15.495949      -12.859945      -16.609171      -15.495949      -12.859945
       37500.000      -16.350448      -15.056267      -13.073467      -16.350448      -15.056267      -13.073467      -16.350448      -15.056267      -13.073467
       40000.000      -16.108428      -14.688683      -13.316912      -16.108428      -14.688683      -13.316912      -16.108428      -14.688683      -13.316912
       42500.000      -15.881086      -14.381876      -13.584080      -15.881086      -14.381876      -13.584080      -15.881086      -14.381876      -13.584080
       45000.000      -15.666742      -14.126757      -13.870119      -15.666742      -14.126757      -13.870119      -15.666742      -14.126757      -13.870119
       47500.000      -15.463990      -13.915936      -14.171190      -15.463990      -13.915936      -14.171190      -15.463990      -13.915936      -14.171190
       50000.000      -15.271640      -13.743342      -14.484224      -15.271640      -13.743342      -14.484224      -15.271640      -13.743342      -14.484224
       52500.000      -15.088677      -13.603937      -14.806750      -15.088677      -13.603937      -14.806750      -15.088677      -13.603937      -14.806750
       55000.000      -14.914227      -13.493507      -15.136757      -14.914227      -13.493507      -15.136757      -14.914227      -13.493507      -15.136757
       57500.000      -14.747533      -13.408497      -15.472602      -14.747533      -13.408497      -15.472602      -14.747533      -13.408497      -15.472602
       60000.000      -14.587934      -13.345888      -15.812934      -14.587934      -13.345888      -15.812934      -14.587934      -13.345888      -15.812934
       62500.000      -14.434852      -13.303099      -16.156635      -14.434852      -13.303099      -16.156635      -14.434852      -13.303099      -16.156635
       65000.000      -14.287774      -13.277911      -16.502776      -14.287774      -13.277911      -16.502776      -14.287774      -13.277911      -16.502776
       67500.000      -14.146248      -13.268406      -16.850584      -14.146248      -13.268406      -16.850584      -14.146248      -13.268406      -16.850584
       70000.000      -14.009869      -13.272916      -17.199412      -14.009869      -13.272916      -17.199412      -14.009869      -13.272916      -17.199412
       72500.000      -13.878277      -13.289986      -17.548715      -13.878277      -13.289986      -17.548715      -13.878277      -13.289986      -17.548715
       75000.000      -13.751146      -13.318340      -17.898039      -13.751146      -13.318340      -17.898039      -13.751146      -13.318340      -17.898039
       77500.000      -13.628184      -13.356856      -18.246999      -13.628184      -13.356856      -18.246999      -13.628184      -13.356856      -18.246999
       80000.000      -13.509127      -13.404542      -18.595271      -13.509127      -13.404542      -18.595271      -13.509127      -13.404542      -18.595271
       82500.000      -13.393733      -13.460518      -18.942584      -13.393733      -13.460518      -18.942584      -13.393733      -13.460518      -18.942584
       85000.000      -13.281784      -13.524002      -19.288706      -13.281784      -13.524002      -19.288706      -13.281784      -13.524002      -19.288706
       87500.000      -13.173081      -13.594297      -19.633446      -13.173081      -13.594297      -19.633446      -13.173081      -13.594297      -19.633446
       90000.000      -13.067440      -13.670778      -19.976640      -13.067440      -13.670778      -19.976640      -13.067440      -13.670778      -19.976640
       92500.000      -12.964694      -13.752886      -20.318153      -12.964694      -13.752886      -20.318153      -12.964694      -13.752886      -20.318153
       95000.000      -12.864688      -13.840117      -20.657871      -12.864688      -13.840117      -20.657871      -12.864688      -13.840117      -20.657871
       97500.000      -12.767280      -13.932018      -20.995700      -12.767280      -13.932018      -20.995700      -12.767280      -13.932018      -20.995700
       100000.00      -12.672338      -14.028179      -21.331562      -12.672338      -14.028179      -21.331562      -12.672338      -14.028179      -21.331562
       102500.00      -12.579741      -14.128228      -21.665393      -12.579741      -14.128228      -21.665393      -12.579741      -14.128228      -21.665393
       105000.00      -12.489375      -14.231830      -21.997143      -12.489375      -14.231830      -21.997143      -12.489375      -14.231830      -21.997143
