begin HEADER
  File_ID = "Aerosol Profile"
  File_Creation = Wed Oct 10 11:47:07 2007
  File_Type = "Matrix"
  Num_Rows = 12
  Num_Columns = 10
  Retrieval_Mode = logarithmic
  Labels = "Pressure" "Low_005" "Mid_005" "High_005" "Low1_005" "Mid1_005" "High1_005" "Low2_005" "Mid2_005" "High2_005"
end HEADER
#       Pressure         Low_005         Mid_005        High_005        Low1_005        Mid1_005       High1_005        Low2_005        Mid2_005       High2_005
       100.00000      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776
       7000.0000      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776
       10000.000      -34.538776      -34.538776      -18.906077      -34.538776      -34.538776      -18.906077      -34.538776      -34.538776      -18.906077
       20000.000      -20.330199      -22.457498      -14.437053      -20.330199      -22.457498      -14.437053      -20.330199      -22.457498      -14.437053
       35000.000      -18.231640      -17.106932      -14.384754      -18.231640      -17.106932      -14.384754      -18.231640      -17.106932      -14.384754
       45000.000      -17.289210      -15.737740      -15.394928      -17.289210      -15.737740      -15.394928      -17.289210      -15.737740      -15.394928
       55000.000      -16.536695      -15.104490      -16.661566      -16.536695      -15.104490      -16.661566      -16.536695      -15.104490      -16.661566
       65000.000      -15.910243      -14.888894      -18.027585      -15.910243      -14.888894      -18.027585      -15.910243      -14.888894      -18.027585
       75000.000      -15.373614      -14.929323      -19.422848      -15.373614      -14.929323      -19.422848      -15.373614      -14.929323      -19.422848
       85000.000      -14.904253      -15.134985      -20.813516      -14.904253      -15.134985      -20.813516      -14.904253      -15.134985      -20.813516
       95000.000      -14.487156      -15.451101      -22.182680      -14.487156      -15.451101      -22.182680      -14.487156      -15.451101      -22.182680
       105000.00      -14.111843      -15.842813      -23.521952      -14.111843      -15.842813      -23.521952      -14.111843      -15.842813      -23.521952
