begin HEADER
  File_ID = "Aerosol Profile"
  File_Creation = Tue Mar 25 18:35:10 2008
  File_Type = "Matrix"
  Num_Rows =       40
  Num_Columns = 10
  Retrieval_Mode = logarithmic
  Labels = "Pressure" "Low_015" "Mid_015" "High_015" "Low1_015" "Mid1_015" "High1_015" "Low2_015" "Mid2_015" "High2_015"
end HEADER
#       Pressure         Low_015         Mid_015        High_015        Low1_015        Mid1_015       High1_015        Low2_015        Mid2_015       High2_015
       100.00000      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776
       3000.0000      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776
       5000.0000      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776      -34.538776
       7000.0000      -34.538776      -34.538776      -22.090909      -34.538776      -34.538776      -22.090909      -34.538776      -34.538776      -22.090909
       8500.0000      -22.427304      -35.680691      -19.645242      -22.427304      -35.680691      -19.645242      -22.427304      -35.680691      -19.645242
       10000.000      -21.817858      -32.388863      -17.892093      -21.817858      -32.388863      -17.892093      -21.817858      -32.388863      -17.892093
       15000.000      -20.297364      -25.344215      -14.686261      -20.297364      -25.344215      -14.686261      -20.297364      -25.344215      -14.686261
       20000.000      -19.218556      -21.357340      -13.423070      -19.218556      -21.357340      -13.423070      -19.218556      -21.357340      -13.423070
       24000.000      -18.534850      -19.265243      -13.057136      -18.534850      -19.265243      -13.057136      -18.534850      -19.265243      -13.057136
       28000.000      -17.956785      -17.759470      -13.010813      -17.956785      -17.759470      -13.010813      -17.956785      -17.759470      -13.010813
       31500.000      -17.515099      -16.771394      -13.137870      -17.515099      -16.771394      -13.137870      -17.515099      -16.771394      -13.137870
       35000.000      -17.119997      -16.006775      -13.370771      -17.119997      -16.006775      -13.370771      -17.119997      -16.006775      -13.370771
       37500.000      -16.861274      -15.567093      -13.584292      -16.861274      -15.567093      -13.584292      -16.861274      -15.567093      -13.584292
       40000.000      -16.619254      -15.199508      -13.827738      -16.619254      -15.199508      -13.827738      -16.619254      -15.199508      -13.827738
       42500.000      -16.391912      -14.892702      -14.094906      -16.391912      -14.892702      -14.094906      -16.391912      -14.892702      -14.094906
       45000.000      -16.177568      -14.637583      -14.380945      -16.177568      -14.637583      -14.380945      -16.177568      -14.637583      -14.380945
       47500.000      -15.974816      -14.426762      -14.682015      -15.974816      -14.426762      -14.682015      -15.974816      -14.426762      -14.682015
       50000.000      -15.782466      -14.254167      -14.995050      -15.782466      -14.254167      -14.995050      -15.782466      -14.254167      -14.995050
       52500.000      -15.599503      -14.114763      -15.317575      -15.599503      -14.114763      -15.317575      -15.599503      -14.114763      -15.317575
       55000.000      -15.425053      -14.004333      -15.647582      -15.425053      -14.004333      -15.647582      -15.425053      -14.004333      -15.647582
       57500.000      -15.258359      -13.919323      -15.983427      -15.258359      -13.919323      -15.983427      -15.258359      -13.919323      -15.983427
       60000.000      -15.098760      -13.856713      -16.323759      -15.098760      -13.856713      -16.323759      -15.098760      -13.856713      -16.323759
       62500.000      -14.945677      -13.813925      -16.667460      -14.945677      -13.813925      -16.667460      -14.945677      -13.813925      -16.667460
       65000.000      -14.798600      -13.788737      -17.013602      -14.798600      -13.788737      -17.013602      -14.798600      -13.788737      -17.013602
       67500.000      -14.657074      -13.779231      -17.361410      -14.657074      -13.779231      -17.361410      -14.657074      -13.779231      -17.361410
       70000.000      -14.520695      -13.783741      -17.710237      -14.520695      -13.783741      -17.710237      -14.520695      -13.783741      -17.710237
       72500.000      -14.389102      -13.800811      -18.059541      -14.389102      -13.800811      -18.059541      -14.389102      -13.800811      -18.059541
       75000.000      -14.261972      -13.829166      -18.408865      -14.261972      -13.829166      -18.408865      -14.261972      -13.829166      -18.408865
       77500.000      -14.139010      -13.867682      -18.757825      -14.139010      -13.867682      -18.757825      -14.139010      -13.867682      -18.757825
       80000.000      -14.019952      -13.915368      -19.106097      -14.019952      -13.915368      -19.106097      -14.019952      -13.915368      -19.106097
       82500.000      -13.904558      -13.971343      -19.453409      -13.904558      -13.971343      -19.453409      -13.904558      -13.971343      -19.453409
       85000.000      -13.792610      -14.034828      -19.799532      -13.792610      -14.034828      -19.799532      -13.792610      -14.034828      -19.799532
       87500.000      -13.683907      -14.105122      -20.144272      -13.683907      -14.105122      -20.144272      -13.683907      -14.105122      -20.144272
       90000.000      -13.578266      -14.181604      -20.487466      -13.578266      -14.181604      -20.487466      -13.578266      -14.181604      -20.487466
       92500.000      -13.475520      -14.263712      -20.828979      -13.475520      -14.263712      -20.828979      -13.475520      -14.263712      -20.828979
       95000.000      -13.375514      -14.350943      -21.168697      -13.375514      -14.350943      -21.168697      -13.375514      -14.350943      -21.168697
       97500.000      -13.278106      -14.442844      -21.506525      -13.278106      -14.442844      -21.506525      -13.278106      -14.442844      -21.506525
       100000.00      -13.183164      -14.539005      -21.842387      -13.183164      -14.539005      -21.842387      -13.183164      -14.539005      -21.842387
       102500.00      -13.090567      -14.639054      -22.176219      -13.090567      -14.639054      -22.176219      -13.090567      -14.639054      -22.176219
       105000.00      -13.000201      -14.742656      -22.507968      -13.000201      -14.742656      -22.507968      -13.000201      -14.742656      -22.507968
