begin HEADER
  File_ID = "Aerosol Profile"
  File_Creation = "Tue Jul 31 11:00:00 PDT 2007"
  File_Type = "Matrix"
  Num_Rows = 12
  Num_Columns = 15
  Retrieval_Mode = linear
  Labels = "Pressure" "AER_01" "AER_02" "AER_03" "AER_04" "AER_05" "AER_06" "AER_07" "AER_08" "AER_09" "AER_10" "AER_11" "AER_12" "AER_13" "AER_14"
end HEADER
#  Pressure         AER_01         AER_02         AER_03         AER_04         AER_05         AER_06         AER_07         AER_08         AER_09         AER_10         AER_11         AER_12         AER_13         AER_14
   1.00E+02  2.1986286E-32  2.1986286E-32  2.1986286E-32  2.1986286E-32  2.1986286E-32  2.1986286E-32  2.1986286E-32  2.1986286E-32  2.1986286E-32  2.1986286E-32  2.1986286E-32  2.1986286E-32  2.1986286E-32  2.1986286E-32
   7.00E+03  2.1986286E-32  2.1986286E-32  2.1986286E-32  2.1986286E-32  2.1986286E-32  2.1986286E-32  2.1986286E-32  2.1986286E-32  2.1986286E-32  2.1986286E-32  2.1986286E-32  2.1986286E-32  2.1986286E-32  2.1986286E-32
   1.00E+04  2.1986286E-32  2.1986286E-32  2.1986286E-32  2.1986286E-32  2.1986286E-32  2.1986286E-32  2.1986286E-32  2.1986286E-32  2.1986286E-32  2.1986286E-32  2.1986286E-32  2.1986286E-32  2.1986286E-32  2.1986286E-32
   2.00E+04  1.3808071E-09  1.3808071E-09  1.3808071E-09  1.3808071E-09  1.3808071E-09  1.3808071E-09  1.3808071E-09  1.3808071E-09  1.3808071E-09  1.3808071E-09  1.3808071E-09  1.3808071E-09  1.3808071E-09  1.3808071E-09
   3.50E+04  2.9300500E-09  2.9300500E-09  2.9300500E-09  2.9300500E-09  2.9300500E-09  2.9300500E-09  2.9300500E-09  2.9300500E-09  2.9300500E-09  2.9300500E-09  2.9300500E-09  2.9300500E-09  2.9300500E-09  2.9300500E-09
   4.50E+04  4.7063143E-09  4.7063143E-09  4.7063143E-09  4.7063143E-09  4.7063143E-09  4.7063143E-09  4.7063143E-09  4.7063143E-09  4.7063143E-09  4.7063143E-09  4.7063143E-09  4.7063143E-09  4.7063143E-09  4.7063143E-09
   5.50E+04  8.6396429E-09  8.6396429E-09  8.6396429E-09  8.6396429E-09  8.6396429E-09  8.6396429E-09  8.6396429E-09  8.6396429E-09  8.6396429E-09  8.6396429E-09  8.6396429E-09  8.6396429E-09  8.6396429E-09  8.6396429E-09
   6.50E+04  1.5489357E-08  1.5489357E-08  1.5489357E-08  1.5489357E-08  1.5489357E-08  1.5489357E-08  1.5489357E-08  1.5489357E-08  1.5489357E-08  1.5489357E-08  1.5489357E-08  1.5489357E-08  1.5489357E-08  1.5489357E-08
   7.50E+04  2.7037429E-08  2.7037429E-08  2.7037429E-08  2.7037429E-08  2.7037429E-08  2.7037429E-08  2.7037429E-08  2.7037429E-08  2.7037429E-08  2.7037429E-08  2.7037429E-08  2.7037429E-08  2.7037429E-08  2.7037429E-08
   8.50E+04  4.2855071E-08  4.2855071E-08  4.2855071E-08  4.2855071E-08  4.2855071E-08  4.2855071E-08  4.2855071E-08  4.2855071E-08  4.2855071E-08  4.2855071E-08  4.2855071E-08  4.2855071E-08  4.2855071E-08  4.2855071E-08
   9.50E+04  6.4243071E-08  6.4243071E-08  6.4243071E-08  6.4243071E-08  6.4243071E-08  6.4243071E-08  6.4243071E-08  6.4243071E-08  6.4243071E-08  6.4243071E-08  6.4243071E-08  6.4243071E-08  6.4243071E-08  6.4243071E-08
   1.05E+05  9.1852143E-08  9.1852143E-08  9.1852143E-08  9.1852143E-08  9.1852143E-08  9.1852143E-08  9.1852143E-08  9.1852143E-08  9.1852143E-08  9.1852143E-08  9.1852143E-08  9.1852143E-08  9.1852143E-08  9.1852143E-08
