begin HEADER
   File_ID            = "Instrument Line Shape for L1B HDF file"
   File_Creation      = "Wed Oct  8 12:19:17 PDT 2008"
   File_Type          = "Matrix"
   Num_Rows           = 1
   Num_Columns        = 1
   Labels             = "PARAMETER" "COEFFICIENT" "ILS_1" "ILS_2" "ILS_3"
   num_ils_parameters = 1
   num_ils_wndepend   = 1  
   function_type      = GAUSS
   ils_cycle          = 6 6 6
   integrate_boxcar   = false
   apo_m              = 1
   interpolation      = 100 100 100    # resolution of fine grid/calculated grid
   hdf_file           = <place_holder>
end HEADER
0.0D0
