begin HEADER
  File_Creation        = "2009-11-10T23:04:33"
  File_ID              = "GOSAT Noise for Pol: P, Gain: H. Example only, real values vary with scene"
  Labels               = "COLOR_1" "CNV_COEF_1" "COLOR_2" "CNV_COEF_2" "COLOR_3" "CNV_COEF_3"
  Num_Columns          = 6
  Num_Rows             = 3508
  band_noise_values    = 1.276671e-01 8.014058e-02 9.291514e-02
  source_acos_l1b_file = /test/gds/system_test/B2.05.01/l1b/acos_L1b_090724_01_Production090929_091019194551t.hdf
  source_sounding_id   = 20090724012908
end HEADER

#         COLOR_1       CNV_COEF_1          COLOR_2       CNV_COEF_2          COLOR_3       CNV_COEF_3
   1.00000000e+00   1.71580012e-08   1.00000000e+00   1.62648703e-08   1.00000000e+00   7.19430826e-09
   2.00000000e+00   1.71377348e-08   2.00000000e+00   1.62612093e-08   2.00000000e+00   7.18574622e-09
   3.00000000e+00   1.71244903e-08   3.00000000e+00   1.62430513e-08   3.00000000e+00   7.17213444e-09
   4.00000000e+00   1.71112404e-08   4.00000000e+00   1.62392784e-08   4.00000000e+00   7.16223569e-09
   5.00000000e+00   1.70979604e-08   5.00000000e+00   1.62356510e-08   5.00000000e+00   7.14880599e-09
   6.00000000e+00   1.70846821e-08   6.00000000e+00   1.62297891e-08   6.00000000e+00   7.13911641e-09
   7.00000000e+00   1.70649468e-08   7.00000000e+00   1.62232645e-08   7.00000000e+00   7.12907289e-09
   8.00000000e+00   1.70419856e-08   8.00000000e+00   1.62145195e-08   8.00000000e+00   7.11977188e-09
   9.00000000e+00   1.70172214e-08   9.00000000e+00   1.62056573e-08   9.00000000e+00   7.11325887e-09
   1.00000000e+01   1.69830194e-08   1.00000000e+01   1.62082330e-08   1.00000000e+01   7.10765358e-09
   1.10000000e+01   1.69488175e-08   1.10000000e+01   1.62115352e-08   1.10000000e+01   7.09722103e-09
   1.20000000e+01   1.69143703e-08   1.20000000e+01   1.62121268e-08   1.20000000e+01   7.09160730e-09
   1.30000000e+01   1.68797936e-08   1.30000000e+01   1.62125318e-08   1.30000000e+01   7.08264158e-09
   1.40000000e+01   1.68476664e-08   1.40000000e+01   1.62118567e-08   1.40000000e+01   7.07597714e-09
   1.50000000e+01   1.68296754e-08   1.50000000e+01   1.62062630e-08   1.50000000e+01   7.07405290e-09
   1.60000000e+01   1.68116845e-08   1.60000000e+01   1.62002927e-08   1.60000000e+01   7.06689773e-09
   1.70000000e+01   1.67922067e-08   1.70000000e+01   1.61815272e-08   1.70000000e+01   7.06238668e-09
   1.80000000e+01   1.67718976e-08   1.80000000e+01   1.61904090e-08   1.80000000e+01   7.05608549e-09
   1.90000000e+01   1.67535639e-08   1.90000000e+01   1.62018043e-08   1.90000000e+01   7.04673431e-09
   2.00000000e+01   1.67478760e-08   2.00000000e+01   1.61957203e-08   2.00000000e+01   7.04631908e-09
   2.10000000e+01   1.67421881e-08   2.10000000e+01   1.61906542e-08   2.10000000e+01   7.04114056e-09
   2.20000000e+01   1.67292757e-08   2.20000000e+01   1.61805858e-08   2.20000000e+01   7.04356573e-09
   2.30000000e+01   1.67120966e-08   2.30000000e+01   1.61668652e-08   2.30000000e+01   7.04126046e-09
   2.40000000e+01   1.66935266e-08   2.40000000e+01   1.61632716e-08   2.40000000e+01   7.03963732e-09
   2.50000000e+01   1.66649894e-08   2.50000000e+01   1.61607776e-08   2.50000000e+01   7.03374914e-09
   2.60000000e+01   1.66364504e-08   2.60000000e+01   1.61722991e-08   2.60000000e+01   7.03216463e-09
