begin HEADER
  File_Creation        = "2009-11-10T23:04:33"
  File_ID              = "GOSAT Noise for Pol: S, Gain: M. Example only, real values vary with scene"
  Labels               = "COLOR_1" "CNV_COEF_1" "COLOR_2" "CNV_COEF_2" "COLOR_3" "CNV_COEF_3"
  Num_Columns          = 6
  Num_Rows             = 3508
  band_noise_values    = 2.510131e-01 1.085544e-01 1.214302e-01
  source_acos_l1b_file = /test/gds/system_test/B2.05.01/l1b/acos_L1b_090724_01_Production090929_091019194551t.hdf
  source_sounding_id   = 20090724012908
end HEADER

#         COLOR_1       CNV_COEF_1          COLOR_2       CNV_COEF_2          COLOR_3       CNV_COEF_3
   5.30000000e+01   4.57859741e-08   5.30000000e+01   4.81894666e-08   5.30000000e+01   2.43420999e-08
   5.40000000e+01   4.57746125e-08   5.40000000e+01   4.81005209e-08   5.40000000e+01   2.43411371e-08
   5.50000000e+01   4.57088483e-08   5.50000000e+01   4.81291309e-08   5.50000000e+01   2.43401583e-08
   5.60000000e+01   4.56430804e-08   5.60000000e+01   4.81286797e-08   5.60000000e+01   2.43391884e-08
   5.70000000e+01   4.55966216e-08   5.70000000e+01   4.80765223e-08   5.70000000e+01   2.43387621e-08
   5.80000000e+01   4.55666225e-08   5.80000000e+01   4.79406808e-08   5.80000000e+01   2.43377247e-08
   5.90000000e+01   4.55365097e-08   5.90000000e+01   4.78330868e-08   5.90000000e+01   2.43369200e-08
   6.00000000e+01   4.55030928e-08   6.00000000e+01   4.77535025e-08   6.00000000e+01   2.43360319e-08
   6.10000000e+01   4.54696760e-08   6.10000000e+01   4.77320583e-08   6.10000000e+01   2.43344829e-08
   6.20000000e+01   4.54348417e-08   6.20000000e+01   4.77474700e-08   6.20000000e+01   2.43335023e-08
   6.30000000e+01   4.53987354e-08   6.30000000e+01   4.78529856e-08   6.30000000e+01   2.43324703e-08
   6.40000000e+01   4.53632438e-08   6.40000000e+01   4.79075375e-08   6.40000000e+01   2.43313476e-08
   6.50000000e+01   4.53567246e-08   6.50000000e+01   4.79590128e-08   6.50000000e+01   2.43301965e-08
   6.60000000e+01   4.53502054e-08   6.60000000e+01   4.79190234e-08   6.60000000e+01   2.43290117e-08
   6.70000000e+01   4.53405811e-08   6.70000000e+01   4.78261200e-08   6.70000000e+01   2.43277753e-08
   6.80000000e+01   4.53280187e-08   6.80000000e+01   4.76801283e-08   6.80000000e+01   2.43264751e-08
   6.90000000e+01   4.53152005e-08   6.90000000e+01   4.75986290e-08   6.90000000e+01   2.43251197e-08
   7.00000000e+01   4.52703013e-08   7.00000000e+01   4.75498823e-08   7.00000000e+01   2.43237164e-08
   7.10000000e+01   4.52254021e-08   7.10000000e+01   4.75737032e-08   7.10000000e+01   2.43222651e-08
   7.20000000e+01   4.51898110e-08   7.20000000e+01   4.76523105e-08   7.20000000e+01   2.43207996e-08
   7.30000000e+01   4.51634747e-08   7.30000000e+01   4.77584656e-08   7.30000000e+01   2.43192897e-08
   7.40000000e+01   4.51371349e-08   7.40000000e+01   4.77919286e-08   7.40000000e+01   2.43177354e-08
   7.50000000e+01   4.51326692e-08   7.50000000e+01   4.77780979e-08   7.50000000e+01   2.43161402e-08
   7.60000000e+01   4.51283100e-08   7.60000000e+01   4.76903210e-08   7.60000000e+01   2.43145042e-08
   7.70000000e+01   4.51125857e-08   7.70000000e+01   4.75762754e-08   7.70000000e+01   2.43128326e-08
   7.80000000e+01   4.50849775e-08   7.80000000e+01   4.74723620e-08   7.80000000e+01   2.43111469e-08
   7.90000000e+01   4.50573694e-08   7.90000000e+01   4.73961066e-08   7.90000000e+01   2.43094540e-08
   8.00000000e+01   4.50311077e-08   8.00000000e+01   4.74423913e-08   8.00000000e+01   2.43077203e-08
   8.10000000e+01   4.50048674e-08   8.10000000e+01   4.75243631e-08   8.10000000e+01   2.43059510e-08
   8.20000000e+01   4.49769644e-08   8.20000000e+01   4.76082711e-08   8.20000000e+01   2.43041747e-08
   8.30000000e+01   4.49472282e-08   8.30000000e+01   4.76589364e-08   8.30000000e+01   2.43023894e-08
   8.40000000e+01   4.49174919e-08   8.40000000e+01   4.76491344e-08   8.40000000e+01   2.43009897e-08
   8.50000000e+01   4.49032775e-08   8.50000000e+01   4.75803823e-08   8.50000000e+01   2.42995810e-08
   8.60000000e+01   4.48895499e-08   8.60000000e+01   4.74606487e-08   8.60000000e+01   2.42975844e-08
   8.70000000e+01   4.48754349e-08   8.70000000e+01   4.73529056e-08   8.70000000e+01   2.42955878e-08
   8.80000000e+01   4.48608759e-08   8.80000000e+01   4.72950106e-08   8.80000000e+01   2.42940210e-08
   8.90000000e+01   4.48463133e-08   8.90000000e+01   4.73032316e-08   8.90000000e+01   2.42924667e-08
   9.00000000e+01   4.48252457e-08   9.00000000e+01   4.73621071e-08   9.00000000e+01   2.42901823e-08
   9.10000000e+01   4.48038868e-08   9.10000000e+01   4.74300457e-08   9.10000000e+01   2.42878890e-08
   9.20000000e+01   4.47813342e-08   9.20000000e+01   4.74982293e-08   9.20000000e+01   2.42861553e-08
   9.30000000e+01   4.47573179e-08   9.30000000e+01   4.75101309e-08   9.30000000e+01   2.42844642e-08
   9.40000000e+01   4.47333015e-08   9.40000000e+01   4.74320991e-08   9.40000000e+01   2.42818885e-08
   9.50000000e+01   4.46985737e-08   9.50000000e+01   4.73081876e-08   9.50000000e+01   2.42792559e-08
   9.60000000e+01   4.46632171e-08   9.60000000e+01   4.72169575e-08   9.60000000e+01   2.42773375e-08
   9.70000000e+01   4.46396875e-08   9.70000000e+01   4.71508912e-08   9.70000000e+01   2.42756091e-08
   9.80000000e+01   4.46313280e-08   9.80000000e+01   4.71596486e-08   9.80000000e+01   2.42727136e-08
   9.90000000e+01   4.46229684e-08   9.90000000e+01   4.72183110e-08   9.90000000e+01   2.42697329e-08
   1.00000000e+02   4.46092940e-08   1.00000000e+02   4.73032529e-08   1.00000000e+02   2.42666740e-08
   1.01000000e+02   4.45952288e-08   1.01000000e+02   4.73952717e-08   1.01000000e+02   2.42644429e-08
   1.02000000e+02   4.45780408e-08   1.02000000e+02   4.74201478e-08   1.02000000e+02   2.42624836e-08
   1.03000000e+02   4.45566393e-08   1.03000000e+02   4.73434199e-08   1.03000000e+02   2.42590499e-08
   1.04000000e+02   4.45352342e-08   1.04000000e+02   4.72594301e-08   1.04000000e+02   2.42555540e-08
   1.05000000e+02   4.45057786e-08   1.05000000e+02   4.71411319e-08   1.05000000e+02   2.42521434e-08
   1.06000000e+02   4.44756161e-08   1.06000000e+02   4.71934740e-08   1.06000000e+02   2.42497098e-08
   1.07000000e+02   4.44533939e-08   1.07000000e+02   4.72267843e-08   1.07000000e+02   2.42475071e-08
   1.08000000e+02   4.44424764e-08   1.08000000e+02   4.72260204e-08   1.08000000e+02   2.42434375e-08
   1.09000000e+02   4.44315553e-08   1.09000000e+02   4.72297970e-08   1.09000000e+02   2.42392328e-08
   1.10000000e+02   4.44265744e-08   1.10000000e+02   4.72514294e-08   1.10000000e+02   2.42350460e-08
   1.11000000e+02   4.44222046e-08   1.11000000e+02   4.72854822e-08   1.11000000e+02   2.42320546e-08
   1.12000000e+02   4.44154225e-08   1.12000000e+02   4.71954564e-08   1.12000000e+02   2.42293297e-08
   1.13000000e+02   4.44050166e-08   1.13000000e+02   4.71361794e-08   1.13000000e+02   2.42237235e-08
   1.14000000e+02   4.43946107e-08   1.14000000e+02   4.71232617e-08   1.14000000e+02   2.42194815e-08
   1.15000000e+02   4.43810819e-08   1.15000000e+02   4.69854200e-08   1.15000000e+02   2.42183376e-08
   1.16000000e+02   4.43671837e-08   1.16000000e+02   4.69108379e-08   1.16000000e+02   2.42149927e-08
   1.17000000e+02   4.43544117e-08   1.17000000e+02   4.69431498e-08   1.17000000e+02   2.42080951e-08
   1.18000000e+02   4.43434267e-08   1.18000000e+02   4.70352823e-08   1.18000000e+02   2.42009506e-08
   1.19000000e+02   4.43324417e-08   1.19000000e+02   4.71044999e-08   1.19000000e+02   2.41947227e-08
   1.20000000e+02   4.43176020e-08   1.20000000e+02   4.71294932e-08   1.20000000e+02   2.41917686e-08
   1.21000000e+02   4.43022365e-08   1.21000000e+02   4.71072497e-08   1.21000000e+02   2.41884255e-08
   1.22000000e+02   4.42889423e-08   1.22000000e+02   4.70043062e-08   1.22000000e+02   2.41797782e-08
